央视频道,#genre#
仙剑奇侠传,,http://1.94.31.214:35455/yy/1382749903
康熙微服私访记,,http://1.94.31.214:35455/yy/1352811698
大秧歌,,http://1.94.31.214:35455/yy/1354744544
少年张三丰,http://1.94.31.214:35455/huya/26355824
倚天屠龙记,http://1.94.31.214:35455/huya/11342403
西游记张卫健版,,http://1.94.31.214:35455/yy/1354936155
封神榜陈浩民版,http://1.94.31.214:35455/huya/23749096

狂飙,,http://1.94.31.214:35455/yy/1355142167
鹿鼎记,,http://1.94.31.214:35455/yy/28265277
三国演义,,http://1.94.31.214:35455/yy/1354930932
少年包青天,,http://1.94.31.214:35455/yy/38498680
神雕侠侣,,http://1.94.31.214:35455/yy/1351762426
神医喜来乐,,http://1.94.31.214:35455/yy/1382714119
神探狄仁杰,http://maomao.kandiantv.cn/douyu1.php?id=3395113
天龙八部,,http://1.94.31.214:35455/yy/1351814644
天道,,http://1.94.31.214:35455/yy/1382735574
太子妃升职记,,http://1.94.31.214:35455/yy/1354932359
小欢喜,,http://1.94.31.214:35455/yy/1382737888
仙剑奇侠传,,http://1.94.31.214:35455/yy/1382749903
笑傲江湖,,http://1.94.31.214:35455/yy/1354930909
新白娘子传奇,,http://1.94.31.214:35455/yy/1354930969
寻秦记,,http://1.94.31.214:35455/yy/1382851591






明星,#genre#
星爷,http://1.94.31.214:35455/huya/11342412
英叔,http://1.94.31.214:35455/huya/11342421
发哥,http://1.94.31.214:35455/huya/11342387
成龙,http://1.94.31.214:35455/huya/11342386
王晶,http://1.94.31.214:35455/huya/11602058
沈腾,http://1.94.31.214:35455/huya/11601968
黄渤,http://1.94.31.214:35455/huya/11352876
强森,http://1.94.31.214:35455/huya/21059581
漫威,http://1.94.31.214:35455/huya/11602034
宇宙,http://1.94.31.214:35455/huya/11342428
怪兽,http://1.94.31.214:35455/huya/21059577
武侠,http://1.94.31.214:35455/huya/11342427
警匪,http://1.94.31.214:35455/huya/11352886
罪犯,http://1.94.31.214:35455/huya/11352962
枪战,http://1.94.31.214:35455/huya/21059579

云视中国,#genre#
